task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,TD3,Welch t-test,0.01,20,0.003,0.001729450779872038,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,20,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,20,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,20,0.035,0.005811626278418116,0.01
Hopper-v5,SAC,TD3,permutation,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,TD3,t-test,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,TD3,Welch t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,Ranked t-test,0.01,30,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,TD3,bootstrap,0.01,30,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,TD3,permutation,0.01,30,0.015,0.003843826218756514,0.01
Walker2d-v5,SAC,TD3,t-test,0.05,2,0.048,0.006759881655768835,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2,0.021,0.004534203347888138,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,2,0.321,0.0147634345597493,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,2,0.328,0.014846413708367418,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,3,0.041,0.006270486424512854,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,3,0.02,0.004427188724235731,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,3,0.104,0.009653186002558949,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,3,0.208,0.0128349522788361,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,3,0.109,0.00985489725973843,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,5,0.034,0.005730968504537431,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,5,0.032,0.005565608681896348,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,5,0.034,0.005730968504537431,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,5,0.054,0.007147307185227175,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,5,0.139,0.010939789760319894,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,5,0.056,0.007270763371201128,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,10,0.049,0.006826346021115542,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,10,0.033,0.005648982209212559,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,10,0.054,0.007147307185227175,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,10,0.049,0.006826346021115542,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,10,0.088,0.008958571314668427,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,10,0.054,0.007147307185227175,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,20,0.048,0.006759881655768835,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,20,0.047,0.006692607862410586,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,20,0.061,0.0075682891065286355,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,20,0.056,0.007270763371201128,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,20,0.092,0.00913980306133562,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,20,0.052,0.007021111023192838,0.05
Walker2d-v5,SAC,TD3,t-test,0.05,30,0.044,0.006485676526007136,0.05
Walker2d-v5,SAC,TD3,Welch t-test,0.05,30,0.047,0.006692607862410586,0.05
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,30,0.065,0.007795832219846705,0.05
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,30,0.076,0.008379976133617566,0.05
Walker2d-v5,SAC,TD3,bootstrap,0.05,30,0.087,0.00891240708226459,0.05
Walker2d-v5,SAC,TD3,permutation,0.05,30,0.054,0.007147307185227175,0.05
Walker2d-v5,SAC,TD3,t-test,0.01,2,0.01,0.003146426544510455,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2,0.004,0.001995995991979944,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2,0.001,0.0009994998749374609,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,2,0.323,0.014787528529135625,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,2,0.352,0.015102847413650183,0.01
Walker2d-v5,SAC,TD3,t-test,0.01,3,0.006,0.002442130217658346,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,3,0.005,0.0022304708023195463,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,3,0.0,0.0,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,3,0.124,0.010422283818818216,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,3,0.095,0.00927227048785787,0.01
Walker2d-v5,SAC,TD3,t-test,0.01,5,0.005,0.0022304708023195463,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,5,0.006,0.002442130217658346,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,5,0.003,0.001729450779872038,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,5,0.018,0.004204283529925164,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,5,0.057,0.007331507348424334,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,5,0.013,0.003582038525755969,0.01
Walker2d-v5,SAC,TD3,t-test,0.01,10,0.007,0.0026364749192814255,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,10,0.004,0.001995995991979944,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,10,0.005,0.0022304708023195463,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,10,0.008,0.0028170906978654416,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,10,0.041,0.006270486424512854,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,10,0.012,0.003443254274665175,0.01
Walker2d-v5,SAC,TD3,t-test,0.01,20,0.007,0.0026364749192814255,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,20,0.01,0.003146426544510455,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,20,0.01,0.003146426544510455,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,20,0.015,0.003843826218756514,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,20,0.018,0.004204283529925164,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,20,0.011,0.003298332912245215,0.01
Walker2d-v5,SAC,TD3,t-test,0.01,30,0.005,0.0022304708023195463,0.01
Walker2d-v5,SAC,TD3,Welch t-test,0.01,30,0.005,0.0022304708023195463,0.01
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,30,0.009,0.002986469487538756,0.01
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,30,0.015,0.003843826218756514,0.01
Walker2d-v5,SAC,TD3,bootstrap,0.01,30,0.016,0.003967870965643918,0.01
Walker2d-v5,SAC,TD3,permutation,0.01,30,0.006,0.002442130217658346,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.05,2,0.075,0.008329165624478841,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2,0.048,0.006759881655768835,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2,0.37,0.015267612779999367,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,2,0.373,0.015292841462592882,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.05,3,0.051,0.00695693898205238,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,3,0.024,0.004839834707921336,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,3,0.126,0.010493998284733994,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,3,0.208,0.0128349522788361,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,3,0.114,0.010050074626588601,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.05,5,0.052,0.007021111023192838,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,5,0.039,0.006122009474020765,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,5,0.037,0.005969170796685248,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,5,0.068,0.007960904471226871,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,5,0.14,0.010972693379476163,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,5,0.064,0.007739767438366608,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.05,10,0.049,0.006826346021115542,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,10,0.045,0.0065555320150236475,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,10,0.089,0.00900438781928011,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,10,0.079,0.008529888627643388,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,10,0.09,0.009049861877399014,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,10,0.055,0.00720936890441875,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.05,20,0.053,0.00708456067798138,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,20,0.042,0.0063431853196954605,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,20,0.121,0.010313049985334114,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,20,0.127,0.010529529904036551,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,20,0.07,0.008068457101577725,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,20,0.041,0.006270486424512854,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.05,30,0.046,0.006624499981130651,0.05
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,30,0.047,0.006692607862410586,0.05
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,30,0.176,0.012042591083317577,0.05
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,30,0.165,0.011737759581794134,0.05
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,30,0.057,0.007331507348424334,0.05
HalfCheetah-v5,SAC,TD3,permutation,0.05,30,0.047,0.006692607862410586,0.05
HalfCheetah-v5,SAC,TD3,t-test,0.01,2,0.045,0.0065555320150236475,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2,0.011,0.003298332912245215,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2,0.331,0.014880826589944525,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,2,0.368,0.015250442616527561,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.01,3,0.026,0.0050322956987840055,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,3,0.013,0.003582038525755969,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,3,0.0,0.0,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,3,0.123,0.010386096475577337,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,3,0.102,0.009570579919733181,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.01,5,0.011,0.003298332912245215,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,5,0.007,0.0026364749192814255,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,5,0.006,0.002442130217658346,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,5,0.025,0.0049371044145328745,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,5,0.071,0.008121514637061242,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,5,0.019,0.004317290817167636,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.01,10,0.012,0.003443254274665175,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,10,0.009,0.002986469487538756,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,10,0.013,0.003582038525755969,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,10,0.02,0.004427188724235731,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,10,0.031,0.0054807846153630225,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,10,0.019,0.004317290817167636,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.01,20,0.005,0.0022304708023195463,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,20,0.032,0.005565608681896348,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,20,0.036,0.005891010100144117,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,20,0.013,0.003582038525755969,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,20,0.015,0.003843826218756514,0.01
HalfCheetah-v5,SAC,TD3,t-test,0.01,30,0.014,0.003715373467095872,0.01
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,30,0.013,0.003582038525755969,0.01
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,30,0.059,0.007451107300260815,0.01
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,30,0.057,0.007331507348424334,0.01
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,30,0.017,0.004087909000944126,0.01
HalfCheetah-v5,SAC,TD3,permutation,0.01,30,0.01,0.003146426544510455,0.01
Ant-v5,SAC,TD3,t-test,0.05,2,0.103,0.009612023720320296,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,2,0.042,0.0063431853196954605,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,2,0.002,0.0014127986409959489,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,2,0.381,0.015357050498061143,0.05
Ant-v5,SAC,TD3,permutation,0.05,2,0.406,0.015529455882290275,0.05
Ant-v5,SAC,TD3,t-test,0.05,3,0.127,0.010529529904036551,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,3,0.106,0.009734680272099337,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,3,0.126,0.010493998284733994,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,3,0.252,0.013729384545565033,0.05
Ant-v5,SAC,TD3,permutation,0.05,3,0.16,0.01159310139695155,0.05
Ant-v5,SAC,TD3,t-test,0.05,5,0.096,0.009315793041926168,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,5,0.08,0.008579044235810887,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,5,0.051,0.00695693898205238,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,5,0.089,0.00900438781928011,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,5,0.148,0.011229247525992114,0.05
Ant-v5,SAC,TD3,permutation,0.05,5,0.097,0.00935900635751467,0.05
Ant-v5,SAC,TD3,t-test,0.05,10,0.075,0.008329165624478841,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,10,0.064,0.007739767438366608,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,10,0.117,0.010164201887015036,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,10,0.142,0.011037934589405754,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,10,0.085,0.008819013550278738,0.05
Ant-v5,SAC,TD3,permutation,0.05,10,0.073,0.008226238508577295,0.05
Ant-v5,SAC,TD3,t-test,0.05,20,0.053,0.00708456067798138,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,20,0.059,0.007451107300260815,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,20,0.233,0.013368283360252356,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,20,0.239,0.01348625225924534,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,20,0.076,0.008379976133617566,0.05
Ant-v5,SAC,TD3,permutation,0.05,20,0.054,0.007147307185227175,0.05
Ant-v5,SAC,TD3,t-test,0.05,30,0.059,0.007451107300260815,0.05
Ant-v5,SAC,TD3,Welch t-test,0.05,30,0.059,0.007451107300260815,0.05
Ant-v5,SAC,TD3,Mann-Whitney,0.05,30,0.303,0.014532412050310162,0.05
Ant-v5,SAC,TD3,Ranked t-test,0.05,30,0.299,0.014477534320456644,0.05
Ant-v5,SAC,TD3,bootstrap,0.05,30,0.062,0.007626008130076967,0.05
Ant-v5,SAC,TD3,permutation,0.05,30,0.066,0.007851369307324678,0.05
Ant-v5,SAC,TD3,t-test,0.01,2,0.019,0.004317290817167636,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,2,0.012,0.003443254274665175,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,2,0.0,0.0,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,2,0.0,0.0,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,2,0.403,0.01551099609954177,0.01
Ant-v5,SAC,TD3,permutation,0.01,2,0.365,0.015224158433227107,0.01
Ant-v5,SAC,TD3,t-test,0.01,3,0.045,0.0065555320150236475,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,3,0.025,0.0049371044145328745,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,3,0.0,0.0,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,3,0.0,0.0,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,3,0.193,0.012480024038438387,0.01
Ant-v5,SAC,TD3,permutation,0.01,3,0.135,0.010806248192596726,0.01
Ant-v5,SAC,TD3,t-test,0.01,5,0.046,0.006624499981130651,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,5,0.049,0.006826346021115542,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,5,0.005,0.0022304708023195463,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,5,0.024,0.004839834707921336,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,5,0.111,0.00993373041711924,0.01
Ant-v5,SAC,TD3,permutation,0.01,5,0.037,0.005969170796685248,0.01
Ant-v5,SAC,TD3,t-test,0.01,10,0.028,0.005216895628628198,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,10,0.03,0.005394441583704471,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,10,0.034,0.005730968504537431,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,10,0.036,0.005891010100144117,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,10,0.045,0.0065555320150236475,0.01
Ant-v5,SAC,TD3,permutation,0.01,10,0.028,0.005216895628628198,0.01
Ant-v5,SAC,TD3,t-test,0.01,20,0.019,0.004317290817167636,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,20,0.019,0.004317290817167636,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,20,0.083,0.008724161850859944,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,20,0.088,0.008958571314668427,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,20,0.026,0.0050322956987840055,0.01
Ant-v5,SAC,TD3,permutation,0.01,20,0.013,0.003582038525755969,0.01
Ant-v5,SAC,TD3,t-test,0.01,30,0.015,0.003843826218756514,0.01
Ant-v5,SAC,TD3,Welch t-test,0.01,30,0.012,0.003443254274665175,0.01
Ant-v5,SAC,TD3,Mann-Whitney,0.01,30,0.125,0.010458250331675944,0.01
Ant-v5,SAC,TD3,Ranked t-test,0.01,30,0.145,0.01113440613593738,0.01
Ant-v5,SAC,TD3,bootstrap,0.01,30,0.021,0.004534203347888138,0.01
Ant-v5,SAC,TD3,permutation,0.01,30,0.017,0.004087909000944126,0.01
Humanoid-v5,SAC,TD3,t-test,0.05,2,0.12,0.010276186062932104,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2,0.038,0.006046155803483731,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2,0.0,0.0,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2,0.0,0.0,0.05
Humanoid-v5,SAC,TD3,bootstrap,0.05,2,0.447,0.015722308990730335,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,2,0.427,0.015641962792437524,0.05
Humanoid-v5,SAC,TD3,t-test,0.05,3,0.099,0.009444522221901964,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,3,0.06,0.007509993342207435,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,3,0.0,0.0,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,3,0.224,0.013184233007649706,0.05
Humanoid-v5,SAC,TD3,bootstrap,0.05,3,0.265,0.013956181426163821,0.05
Humanoid-v5,SAC,TD3,permutation,0.05,3,0.207,0.012812142677944232,0.05
Humanoid-v5,SAC,TD3,t-test,0.05,5,0.069,0.008014923580421713,0.05
Humanoid-v5,SAC,TD3,Welch t-test,0.05,5,0.061,0.0075682891065286355,0.05
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,5,0.057,0.007331507348424334,0.05
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,5,0.082,0.008676174272108648,0.05
